timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1559816881756,1514,HTTP Request,200,OK,Thread Group 1-7,text,true,,169,127,2,2,http://localhost:8080/test/charger,1514,0,1
1559816883271,491,HTTP Request,200,OK,Thread Group 1-7,text,true,,169,127,3,3,http://localhost:8080/test/charger,491,0,0
1559816883665,562,HTTP Request,200,OK,Thread Group 1-9,text,true,,169,127,3,3,http://localhost:8080/test/charger,562,0,0
1559816882603,1663,HTTP Request,200,OK,Thread Group 1-8,text,true,,169,127,3,3,http://localhost:8080/test/charger,1663,0,0
1559816883763,652,HTTP Request,200,OK,Thread Group 1-7,text,true,,169,127,3,3,http://localhost:8080/test/charger,652,0,0
1559816884228,527,HTTP Request,200,OK,Thread Group 1-9,text,true,,169,127,3,3,http://localhost:8080/test/charger,527,0,1
1559816884267,497,HTTP Request,200,OK,Thread Group 1-8,text,true,,169,127,3,3,http://localhost:8080/test/charger,497,0,0
1559816884416,473,HTTP Request,200,OK,Thread Group 1-7,text,true,,169,127,3,3,http://localhost:8080/test/charger,473,0,1
1559816884764,467,HTTP Request,200,OK,Thread Group 1-8,text,true,,169,127,3,3,http://localhost:8080/test/charger,467,0,1
1559816884756,522,HTTP Request,200,OK,Thread Group 1-9,text,true,,169,127,3,3,http://localhost:8080/test/charger,522,0,0
1559816884889,556,HTTP Request,200,OK,Thread Group 1-7,text,true,,169,127,3,3,http://localhost:8080/test/charger,556,0,1
1559816885231,491,HTTP Request,200,OK,Thread Group 1-8,text,true,,169,127,4,4,http://localhost:8080/test/charger,491,0,1
1559816885279,459,HTTP Request,200,OK,Thread Group 1-9,text,true,,169,127,4,4,http://localhost:8080/test/charger,459,0,1
1559816885445,452,HTTP Request,200,OK,Thread Group 1-7,text,true,,169,127,4,4,http://localhost:8080/test/charger,452,0,1
1559816885707,464,HTTP Request,200,OK,Thread Group 1-10,text,true,,169,127,3,3,http://localhost:8080/test/charger,464,0,0
1559816885722,460,HTTP Request,200,OK,Thread Group 1-8,text,true,,169,127,3,3,http://localhost:8080/test/charger,460,0,1
1559816885738,457,HTTP Request,200,OK,Thread Group 1-9,text,true,,169,127,3,3,http://localhost:8080/test/charger,457,0,1
1559816886171,430,HTTP Request,200,OK,Thread Group 1-10,text,true,,169,127,3,3,http://localhost:8080/test/charger,430,0,1
1559816886183,473,HTTP Request,200,OK,Thread Group 1-8,text,true,,169,127,3,3,http://localhost:8080/test/charger,473,0,0
1559816886196,483,HTTP Request,200,OK,Thread Group 1-9,text,true,,169,127,3,3,http://localhost:8080/test/charger,483,0,0
1559816886601,457,HTTP Request,200,OK,Thread Group 1-10,text,true,,169,127,3,3,http://localhost:8080/test/charger,457,0,1
1559816886656,482,HTTP Request,200,OK,Thread Group 1-8,text,true,,169,127,3,3,http://localhost:8080/test/charger,482,0,1
1559816886679,477,HTTP Request,200,OK,Thread Group 1-9,text,true,,169,127,3,3,http://localhost:8080/test/charger,477,0,1
1559816887058,455,HTTP Request,200,OK,Thread Group 1-10,text,true,,169,127,3,3,http://localhost:8080/test/charger,455,0,1
1559816887139,444,HTTP Request,200,OK,Thread Group 1-8,text,true,,169,127,3,3,http://localhost:8080/test/charger,444,0,0
1559816887156,495,HTTP Request,200,OK,Thread Group 1-9,text,true,,169,127,2,2,http://localhost:8080/test/charger,495,0,1
1559816887513,577,HTTP Request,200,OK,Thread Group 1-10,text,true,,169,127,3,3,http://localhost:8080/test/charger,577,0,1
1559816887652,508,HTTP Request,200,OK,Thread Group 1-9,text,true,,169,127,3,3,http://localhost:8080/test/charger,508,0,0
1559816887747,466,HTTP Request,200,OK,Thread Group 1-11,text,true,,169,127,3,3,http://localhost:8080/test/charger,466,0,1
